,Airport,City,Country,Code
117,Comox Airport,Comox,Canada,YQQ
118,Regina International Airport,Regina,Canada,YQR
119,Thunder Bay Airport,Thunder Bay,Canada,YQT
120,Grande Prairie Airport,Grande Prairie,Canada,YQU
121,Yorkton Municipal Airport,Yorkton,Canada,YQV
122,North Battleford Airport,North Battleford,Canada,YQW
123,Gander International Airport,Gander,Canada,YQX
124,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY
125,Quesnel Airport,Quesnel,Canada,YQZ
126,Resolute Bay Airport,Resolute,Canada,YRB
127,Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI
128,Roberval Airport,Roberval,Canada,YRJ
129,Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM
130,Rankin Inlet Airport,Rankin Inlet,Canada,YRT
131,Sudbury Airport,Sudbury,Canada,YSB
132,Sherbrooke Airport,Sherbrooke,Canada,YSC
133,Saint John Airport,St. John,Canada,YSJ
134,Fort Smith Airport,Fort Smith,Canada,YSM
135,Nanisivik Airport,Nanisivik,Canada,YSR
136,Summerside Airport,Summerside,Canada,YSU
137,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY
138,Cape Dorset Airport,Cape Dorset,Canada,YTE
139,Thompson Airport,Thompson,Canada,YTH
140,CFB Trenton,Trenton,Canada,YTR
141,Timmins/Victor M. Power,Timmins,Canada,YTS
142,Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ
143,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB
144,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL
145,Repulse Bay Airport,Repulse Bay,Canada,YUT
146,Hall Beach Airport,Hall Beach,Canada,YUX
147,Rouyn Noranda Airport,Rouyn,Canada,YUY
148,La Ronge Airport,La Ronge,Canada,YVC
149,Vermilion Airport,Vermillion,Canada,YVG
150,Qikiqtarjuaq Airport,Broughton Island,Canada,YVM
151,Val-d'Or Airport,Val D'or,Canada,YVO
152,Kuujjuaq Airport,Quujjuaq,Canada,YVP
153,Norman Wells Airport,Norman Wells,Canada,YVQ
154,Vancouver International Airport,Vancouver,Canada,YVR
155,Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT
156,Wiarton Airport,Wiarton,Canada,YVV
157,Petawawa Airport,Petawawa,Canada,YWA
158,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG
159,Wabush Airport,Wabush,Canada,YWK
160,Williams Lake Airport,Williams Lake,Canada,YWL
161,Wrigley Airport,Wrigley,Canada,YWY
162,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC
163,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD
164,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE
165,Medicine Hat Airport,Medicine Hat,Canada,YXH
166,Fort St John Airport,Fort Saint John,Canada,YXJ
167,Sioux Lookout Airport,Sioux Lookout,Canada,YXL
168,Pangnirtung Airport,Pangnirtung,Canada,YXP
169,Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR
170,Prince George Airport,Prince George,Canada,YXS
171,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT
172,London Airport,London,Canada,YXU
173,Abbotsford Airport,Abbotsford,Canada,YXX
174,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY
175,North Bay Jack Garland Airport,North Bay,Canada,YYB
176,Calgary International Airport,Calgary,Canada,YYC
177,Smithers Airport,Smithers,Canada,YYD
178,Fort Nelson Airport,Fort Nelson,Canada,YYE
179,Penticton Airport,Penticton,Canada,YYF
180,Charlottetown Airport,Charlottetown,Canada,YYG
181,Taloyoak Airport,Spence Bay,Canada,YYH
182,Victoria International Airport,Victoria,Canada,YYJ
183,Lynn Lake Airport,Lynn Lake,Canada,YYL
184,Swift Current Airport,Swift Current,Canada,YYN
185,Churchill Airport,Churchill,Canada,YYQ
186,Goose Bay Airport,Goose Bay,Canada,YYR
187,St. John's International Airport,St. John's,Canada,YYT
188,Kapuskasing Airport,Kapuskasing,Canada,YYU
189,Armstrong Airport,Armstrong,Canada,YYW
190,Mont Joli Airport,Mont Joli,Canada,YYY
191,Lester B. Pearson International Airport,Toronto,Canada,YYZ
192,Downsview Airport,Toronto,Canada,YZD
193,Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE
194,Yellowknife Airport,Yellowknife,Canada,YZF
195,Slave Lake Airport,Slave Lake,Canada,YZH
196,Sandspit Airport,Sandspit,Canada,YZP
197,Chris Hadfield Airport,Sarnia,Canada,YZR
198,Port Hardy Airport,Port Hardy,Canada,YZT
199,Whitecourt Airport,Whitecourt,Canada,YZU
200,Sept-Îles Airport,Sept-iles,Canada,YZV
201,Teslin Airport,Teslin,Canada,YZW
202,CFB Greenwood,Greenwood,Canada,YZX
203,Faro Airport,Faro,Canada,ZFA
204,Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM
205,Blida Airport,Blida,Algeria,QLD
206,Bou Saada Airport,Bou Saada,Algeria,BUJ
207,Soummam Airport,Bejaja,Algeria,BJA
208,Houari Boumediene Airport,Algier,Algeria,ALG
209,Djanet Inedbirene Airport,Djanet,Algeria,DJG
212,Illizi Takhamalt Airport,Illizi,Algeria,VVZ
214,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR
215,Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL
216,Mecheria Airport,Mecheria,Algeria,MZW
218,Rabah Bitat Airport,Annaba,Algeria,AAE
219,Mohamed Boudiaf International Airport,Constantine,Algeria,CZL
220,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE
221,Hassi R'Mel Airport,Tilrempt,Algeria,HRM
222,Bou Chekif Airport,Tiaret,Algeria,TID
224,Tindouf Airport,Tindouf,Algeria,TIN
225,Ech Cheliff Airport,Ech-cheliff,Algeria,CFK
226,Tafaraoui Airport,Oran,Algeria,TAF
227,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM
228,Es Senia Airport,Oran,Algeria,ORN
229,Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,BFW
230,Ghriss Airport,Ghriss,Algeria,MUW
231,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR
232,Biskra Airport,Biskra,Algeria,BSK
233,El Golea Airport,El Golea,Algeria,ELG
234,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA
235,Oued Irara Airport,Hassi Messaoud,Algeria,HME
236,In Salah Airport,In Salah,Algeria,INZ
237,Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR
238,Laghouat Airport,Laghouat,Algeria,LOO
239,Timimoun Airport,Timimoun,Algeria,TMX
240,Ain el Beida Airport,Ouargla,Algeria,OGX
241,In Aménas Airport,Zarzaitine,Algeria,IAM
242,Cadjehoun Airport,Cotonou,Benin,COO
243,Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA
244,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY
245,Kotoka International Airport,Accra,Ghana,ACC
246,Tamale Airport,Tamale,Ghana,TML
248,Sunyani Airport,Sunyani,Ghana,NYI
249,Takoradi Airport,Takoradi,Ghana,TKD
250,Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ
251,Bouaké Airport,Bouake,Cote d'Ivoire,BYK
252,Daloa Airport,Daloa,Cote d'Ivoire,DJO
253,Korhogo Airport,Korhogo,Cote d'Ivoire,HGO
254,Man Airport,Man,Cote d'Ivoire,MJC
255,San Pedro Airport,San Pedro,Cote d'Ivoire,SPY
256,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK
257,Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV
258,Akure Airport,Akure,Nigeria,AKR
259,Benin Airport,Benin,Nigeria,BNI
260,Margaret Ekpo International Airport,Calabar,Nigeria,CBQ
261,Akanu Ibiam International Airport,Enugu,Nigeria,ENU
263,Ibadan Airport,Ibadan,Nigeria,IBA
264,Ilorin International Airport,Ilorin,Nigeria,ILR
265,Yakubu Gowon Airport,Jos,Nigeria,JOS
266,Kaduna Airport,Kaduna,Nigeria,KAD
267,Mallam Aminu International Airport,Kano,Nigeria,KAN
268,Maiduguri International Airport,Maiduguri,Nigeria,MIU
269,Makurdi Airport,Makurdi,Nigeria,MDI
270,Murtala Muhammed International Airport,Lagos,Nigeria,LOS
271,Minna Airport,Minna,Nigeria,MXJ
272,Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC
273,Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO
274,Yola Airport,Yola,Nigeria,YOL
275,Zaria Airport,Zaria,Nigeria,ZAR
276,Maradi Airport,Maradi,Niger,MFQ
277,Diori Hamani International Airport,Niamey,Niger,NIM
278,Tahoua Airport,Tahoua,Niger,THZ
279,Mano Dayak International Airport,Agadez,Niger,AJY
282,Zinder Airport,Zinder,Niger,ZND
283,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR
284,Tunis Carthage International Airport,Tunis,Tunisia,TUN
287,Gafsa Ksar International Airport,Gafsa,Tunisia,GAF
288,Gabès Matmata International Airport,Gabes,Tunisia,GAE
290,Djerba Zarzis International Airport,Djerba,Tunisia,DJE
291,El Borma Airport,El Borma,Tunisia,EBM
292,Sfax Thyna International Airport,Sfax,Tunisia,SFA
293,Tozeur Nefta International Airport,Tozeur,Tunisia,TOE
294,Niamtougou International Airport,Niatougou,Togo,LRL
295,Lomé-Tokoin Airport,Lome,Togo,LFW
296,Antwerp International Airport (Deurne),Antwerp,Belgium,ANR
299,Brussels Airport,Brussels,Belgium,BRU
301,Brussels South Charleroi Airport,Charleroi,Belgium,CRL
305,Wevelgem Airport,Kortrijk-vevelgem,Belgium,KJK
306,Liège Airport,Liege,Belgium,LGG
307,Ostend-Bruges International Airport,Ostend,Belgium,OST
313,Zoersel (Oostmalle) Airfield,Zoersel,Belgium,OBL
315,Altenburg-Nobitz Airport,Altenburg,Germany,AOC
321,Riesa-Göhlis Airport,Riesa,Germany,IES
322,Rechlin-Lärz Airport,Rechlin-laerz,Germany,REB
324,Schönhagen Airport,Schoenhagen,Germany,QXH
325,Barth Airport,Barth,Germany,BBH
328,"Magdeburg ""City"" Airport",Magdeburg,Germany,ZMG
331,Cottbus-Drewitz Airport,Cottbus,Germany,CBU
333,Berlin-Schönefeld Airport,Berlin,Germany,SXF
334,Dresden Airport,Dresden,Germany,DRS
335,Erfurt Airport,Erfurt,Germany,ERF
336,Frankfurt am Main Airport,Frankfurt,Germany,FRA
337,Münster Osnabrück Airport,Munster,Germany,FMO
338,Hamburg Airport,Hamburg,Germany,HAM
339,Berlin-Tempelhof International Airport,Berlin,Germany,THF
340,Cologne Bonn Airport,Cologne,Germany,CGN
341,Düsseldorf Airport,Duesseldorf,Germany,DUS
342,Munich Airport,Munich,Germany,MUC
343,Nuremberg Airport,Nuernberg,Germany,NUE
344,Leipzig/Halle Airport,Leipzig,Germany,LEJ
345,Saarbrücken Airport,Saarbruecken,Germany,SCN
346,Stuttgart Airport,Stuttgart,Germany,STR
347,Berlin-Tegel Airport,Berlin,Germany,TXL
348,Hannover Airport,Hannover,Germany,HAJ
349,Bremen Airport,Bremen,Germany,BRE
350,Frankfurt-Egelsbach Airport,Egelsbach,Germany,QEF
351,Frankfurt-Hahn Airport,Hahn,Germany,HHN
352,Mannheim-City Airport,Mannheim,Germany,MHG
356,Eisenach-Kindel Airport,Eisenach,Germany,EIB
357,Siegerland Airport,Siegerland,Germany,SGE
358,Hamburg-Finkenwerder Airport,Hamburg,Germany,XFW
359,Kiel-Holtenau Airport,Kiel,Germany,KEL
360,Lübeck Blankensee Airport,Luebeck,Germany,LBC
364,Essen Mulheim Airport,Essen,Germany,ESS
365,Bielefeld Airport,Bielefeld,Germany,BFE
366,Mönchengladbach Airport,Moenchengladbach,Germany,MGL
367,Paderborn Lippstadt Airport,Paderborn,Germany,PAD
369,Dortmund Airport,Dortmund,Germany,DTM
370,Augsburg Airport,Augsburg,Germany,AGB
374,Oberpfaffenhofen Airport,Oberpfaffenhofen,Germany,OBF
375,Straubing Airport,Straubing,Germany,RBM
378,Friedrichshafen Airport,Friedrichshafen,Germany,FDH
379,Schwerin Parchim Airport,Parchim,Germany,SZW
382,Bayreuth Airport,Bayreuth,Germany,BYU
383,Burg Feuerstein Airport,Burg Feuerstein,Germany,URD
384,Hof-Plauen Airport,Hof,Germany,HOQ
389,Zweibrücken Airport,Zweibruecken,Germany,ZQW
390,Donaueschingen-Villingen Airport,Donaueschingen,Germany,ZQL
