,Airport,City,Country,Code
2159,Marshall Islands International Airport,Majuro,Marshall Islands,MAJ
2161,Bucholz Army Air Field,Kwajalein,Marshall Islands,KWA
2162,Cassidy International Airport,Kiritimati,Kiribati,CXI
2163,Henderson Field,Midway,Midway Islands,MDY
2164,Chuuk International Airport,Chuuk,Micronesia,TKK
2165,Pohnpei International Airport,Pohnpei,Micronesia,PNI
2166,Babelthuap Airport,Babelthuap,Palau,ROR
2167,Kosrae International Airport,Kosrae,Micronesia,KSA
2168,Yap International Airport,Yap,Micronesia,YAP
2169,Kinmen Airport,Kinmen,Taiwan,KNH
2172,Taitung Airport,Fengnin,Taiwan,TTT
2173,Lyudao Airport,Green Island,Taiwan,GNI
2174,Kaohsiung International Airport,Kaohsiung,Taiwan,KHH
2175,Chiayi Airport,Chiayi,Taiwan,CYI
2176,Lanyu Airport,Lanyu,Taiwan,KYD
2177,Taichung Ching Chuang Kang Airport,Taichung,Taiwan,RMQ
2178,Tainan Airport,Tainan,Taiwan,TNN
2179,Hsinchu Air Base,Hsinchu,Taiwan,HSZ
2180,Makung Airport,Makung,Taiwan,MZG
2182,Pingtung North Airport,Pingtung,Taiwan,PIF
2183,Taipei Songshan Airport,Taipei,Taiwan,TSA
2184,Taiwan Taoyuan International Airport,Taipei,Taiwan,TPE
2185,Wang-an Airport,Wang An,Taiwan,WOT
2186,Hualien Airport,Hualien,Taiwan,HUN
2187,Narita International Airport,Tokyo,Japan,NRT
2188,Matsumoto Airport,Matsumoto,Japan,MMJ
2189,Hyakuri Airport,Ibaraki,Japan,IBR
2190,Minami Torishima Airport,Minami Tori Shima,Japan,MUS
2191,Iwo Jima Airport,Iwojima,Japan,IWO
2192,Nanki Shirahama Airport,Nanki-shirahama,Japan,SHM
2194,Tokachi-Obihiro Airport,Obihiro,Japan,OBO
2195,New Chitose Airport,Sapporo,Japan,CTS
2196,Hakodate Airport,Hakodate,Japan,HKD
2198,Memanbetsu Airport,Memanbetsu,Japan,MMB
2199,Nakashibetsu Airport,Nakashibetsu,Japan,SHB
2201,Wakkanai Airport,Wakkanai,Japan,WKJ
2202,Iki Airport,Iki,Japan,IKI
2203,Yamaguchi Ube Airport,Yamaguchi,Japan,UBJ
2204,Tsushima Airport,Tsushima,Japan,TSJ
2205,Monbetsu Airport,Monbetsu,Japan,MBE
2206,Asahikawa Airport,Asahikawa,Japan,AKJ
2207,Okushiri Airport,Okushiri,Japan,OIR
2208,Rishiri Airport,Rishiri Island,Japan,RIS
2210,Yakushima Airport,Yakushima,Japan,KUM
2211,Fukue Airport,Fukue,Japan,FUJ
2212,Fukuoka Airport,Fukuoka,Japan,FUK
2213,New Tanegashima Airport,Tanegashima,Japan,TNE
2214,Kagoshima Airport,Kagoshima,Japan,KOJ
2215,Miyazaki Airport,Miyazaki,Japan,KMI
2217,Oita Airport,Oita,Japan,OIT
2218,Kitakyūshū Airport,Kitakyushu,Japan,KKJ
2219,Kumamoto Airport,Kumamoto,Japan,KMJ
2220,Nagasaki Airport,Nagasaki,Japan,NGS
2223,Amami Airport,Amami,Japan,ASJ
2224,Okierabu Airport,Okierabu,Japan,OKE
2225,Tokunoshima Airport,Tokunoshima,Japan,TKN
2226,Fukui Airport,Fukui,Japan,FKJ
2227,Gifu Airport,Gifu,Japan,QGU
2229,Komatsu Airport,Kanazawa,Japan,KMQ
2230,Oki Airport,Oki Island,Japan,OKI
2231,Toyama Airport,Toyama,Japan,TOY
2233,Hiroshima Airport,Hiroshima,Japan,HIJ
2234,Okayama Airport,Okayama,Japan,OKJ
2235,Izumo Airport,Izumo,Japan,IZO
2237,Miho Yonago Airport,Miho,Japan,YGJ
2239,Kōchi Ryōma Airport,Kochi,Japan,KCZ
2240,Matsuyama Airport,Matsuyama,Japan,MYJ
2241,Osaka International Airport,Osaka,Japan,ITM
2242,Tottori Airport,Tottori,Japan,TTJ
2243,Tokushima Airport/JMSDF Air Base,Tokushima,Japan,TKS
2244,Takamatsu Airport,Takamatsu,Japan,TAK
2247,Aomori Airport,Aomori,Japan,AOJ
2248,Yamagata Airport,Yamagata,Japan,GAJ
2249,Sado Airport,Sado,Japan,SDS
2250,Hachinohe Airport,Hachinoe,Japan,HHE
2251,Hanamaki Airport,Hanamaki,Japan,HNA
2252,Akita Airport,Akita,Japan,AXT
2253,Misawa Air Base,Misawa,Japan,MSJ
2254,Sendai Airport,Sendai,Japan,SDJ
2256,Atsugi Naval Air Facility,Atsugi,Japan,NJA
2258,Hachijojima Airport,Hachijojima,Japan,HAC
2262,Oshima Airport,Oshima,Japan,OIM
2264,Tokyo Haneda International Airport,Tokyo,Japan,HND
2265,Yokota Air Base,Yokota,Japan,OKO
2266,Gwangju Airport,Kwangju,South Korea,KWJ
2267,Jeon Ju Airport (G-703),Jhunju,South Korea,CHN
2268,Yeosu Airport,Yeosu,South Korea,RSU
2270,Gangneung Airport (K-18),Kangnung,South Korea,KAG
2271,Jeju International Airport,Cheju,South Korea,CJU
2272,Jinhae Airbase/Airport (G-813/K-10),Chinhae,South Korea,CHF
2273,Gimhae International Airport,Busan,South Korea,PUS
2274,Ulsan Airport,Ulsan,South Korea,USN
2276,Seoul Air Base (K-16),Seoul East,South Korea,SSN
2277,Osan Air Base,Osan,South Korea,OSN
2278,Gimpo International Airport,Seoul,South Korea,GMP
2279,Suwon Airport,Suwon,South Korea,SWU
2280,Pohang Airport (G-815/K-3),Pohang,South Korea,KPO
2281,Daegu Airport,Taegu,South Korea,TAE
2282,Yecheon Airbase,Yechon,South Korea,YEC
2283,Naha Airport,Okinawa,Japan,OKA
2285,Kadena Air Base,Kadena,Japan,DNA
2286,New Ishigaki Airport,Ishigaki,Japan,ISG
2287,Kumejima Airport,Kumejima,Japan,UEO
2288,Minami-Daito Airport,Minami Daito,Japan,MMD
2289,Miyako Airport,Miyako,Japan,MMY
2290,Kitadaito Airport,Kitadaito,Japan,KTD
2291,Shimojishima Airport,Shimojishima,Japan,SHI
2292,Tarama Airport,Tarama,Japan,TRA
2293,Yoron Airport,Yoron,Japan,RNJ
2295,Yonaguni Airport,Yonaguni Jima,Japan,OGN
2296,Ninoy Aquino International Airport,Manila,Philippines,MNL
2297,Awang Airport,Cotabato,Philippines,CBO
2299,Pagadian Airport,Pagadian,Philippines,PAG
2300,General Santos International Airport,Romblon,Philippines,GES
2301,Zamboanga International Airport,Zamboanga,Philippines,ZAM
2302,Loakan Airport,Baguio,Philippines,BAG
2303,Daet Airport,Daet,Philippines,DTE
2306,San Jose Airport,San Jose,Philippines,SJI
2308,Mamburao Airport,Mamburao,Philippines,MBO
2310,Dr.Juan C. Angara Airport,Baler,Philippines,BQA
2312,Daniel Z. Romualdez Airport,Tacloban,Philippines,TAC
2313,Bacolod-Silay Airport,Bacolod,Philippines,BCD
2314,Sibulan Airport,Dumaguete,Philippines,DGT
2315,Godofredo P. Ramos Airport,Caticlan,Philippines,MPH
2317,Iloilo International Airport,Iloilo,Philippines,ILO
2318,Kalibo International Airport,Kalibo,Philippines,KLO
2319,Puerto Princesa Airport,Puerto Princesa,Philippines,PPS
2320,Evelio Javier Airport,San Jose,Philippines,EUQ
2321,Comodoro Pierrestegui Airport,Concordia,Argentina,COC
2322,Gualeguaychu Airport,Gualeguaychu,Argentina,GHU
2323,Junin Airport,Junin,Argentina,JNI
2324,General Urquiza Airport,Parana,Argentina,PRA
2325,Islas Malvinas Airport,Rosario,Argentina,ROS
2326,Sauce Viejo Airport,Santa Fe,Argentina,SFN
2327,Jorge Newbery Airpark,Buenos Aires,Argentina,AEP
2328,Ingeniero Ambrosio Taravella Airport,Cordoba,Argentina,COR
2330,San Fernando Airport,San Fernando,Argentina,FDO
2332,La Plata Airport,La Plata,Argentina,LPG
2334,El Palomar Airport,El Palomar,Argentina,EPA
2335,Chos Malal Airport,Chosmadal,Argentina,HOS
2336,Dr. Arturo H. Illia Airport,Fuerte Gral Roca,Argentina,GNR
2337,El Plumerillo Airport,Mendoza,Argentina,MDZ
2338,Comodoro D.R. Salomón Airport,Malargue,Argentina,LGS
2339,Suboficial Ay Santiago Germano Airport,San Rafael,Argentina,AFA
2340,Catamarca Airport,Catamarca,Argentina,CTC
2341,Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago Del Estero,Argentina,SDE
2343,Capitan V A Almonacid Airport,La Rioja,Argentina,IRJ
2345,Teniente Benjamin Matienzo Airport,Tucuman,Argentina,TUC
2346,Domingo Faustino Sarmiento Airport,San Juan,Argentina,UAQ
2347,Area De Material Airport,Rio Cuarto,Argentina,RCU
2348,Villa Dolores Airport,Villa Dolores,Argentina,VDR
2351,Villa Reynolds Airport,Villa Reynolds,Argentina,VME
2352,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,Argentina,LUQ
2353,Corrientes Airport,Corrientes,Argentina,CNQ
2354,Resistencia International Airport,Resistencia,Argentina,RES
2355,Formosa Airport,Formosa,Argentina,FMA
2356,Cataratas Del Iguazú International Airport,Iguazu Falls,Argentina,IGR
2357,Paso De Los Libres Airport,Paso De Los Libres,Argentina,AOL
2358,Monte Caseros Airport,Monte Caseros,Argentina,MCS
2359,Libertador Gral D Jose De San Martin Airport,Posadas,Argentina,PSS
2360,Termal Airport,Presidencia R.s.pena,Argentina,PRQ
2361,Martin Miguel De Guemes International Airport,Salta,Argentina,SLA
2362,Gobernador Horacio Guzman International Airport,Jujuy,Argentina,JUJ
2363,Orán Airport,Oran,Argentina,ORA
2365,El Dorado Airport,El Dorado,Argentina,ELO
2366,Goya Airport,Goya,Argentina,OYA
2368,Reconquista Airport,Reconquista,Argentina,RCQ
2369,Curuzu Cuatia Airport,Curuzu Cuatia,Argentina,UZU
2370,El Bolson Airport,El Bolson,Argentina,EHL
2371,General E. Mosconi Airport,Comodoro Rivadavia,Argentina,CRD
2372,Brigadier Antonio Parodi Airport,Esquel,Argentina,EQS
2373,Almirante Marco Andres Zar Airport,Trelew,Argentina,REL
2374,Gobernador Castello Airport,Viedma,Argentina,VDM
2375,El Tehuelche Airport,Puerto Madryn,Argentina,PMY
2377,Puerto Deseado Airport,Puerto Deseado,Argentina,PUD
2378,Hermes Quijada International Airport,Rio Grande,Argentina,RGA
2379,Piloto Civil N. Fernández Airport,Rio Gallegos,Argentina,RGL
2380,Malvinas Argentinas Airport,Ushuaia,Argentina,USH
2381,Capitan D Daniel Vazquez Airport,San Julian,Argentina,ULA
2382,Perito Moreno Airport,Perito Moreno,Argentina,PMQ
2383,Santa Cruz Airport,Santa Cruz,Argentina,RZA
2384,Comandante Espora Airport,Bahia Blanca,Argentina,BHI
2385,Brigadier D.H.E. Ruiz Airport,Colonel Suarez,Argentina,CSZ
2386,Olavarria Airport,Olavarria,Argentina,OVR
2387,General Pico Airport,General Pico,Argentina,GPO
2388,Tres Arroyos Airport,Tres Arroyos,Argentina,OYO
2390,Ástor Piazzola International Airport,Mar Del Plata,Argentina,MDQ
2391,Presidente Peron Airport,Neuquen,Argentina,NQN
2392,Comodoro Pedro Zanni Airport,Pehuajo,Argentina,PEH
2393,Santa Rosa Airport,Santa Rosa,Argentina,RSA
2394,San Carlos De Bariloche Airport,San Carlos De Bariloche,Argentina,BRC
2395,Héroes De Malvinas Airport,Tandil,Argentina,TDL
2396,Villa Gesell Airport,Villa Gesell,Argentina,VLG
2397,Cutral-Co Airport,Cutralco,Argentina,CUT
2398,Aviador C. Campos Airport,San Martin Des Andes,Argentina,CPC
2399,Conceição do Araguaia Airport,Conceicao Do Araguaia,Brazil,CDJ
2402,Araraquara Airport,Araracuara,Brazil,AQA
2403,Santa Maria Airport,Aracaju,Brazil,AJU
2405,Piloto Osvaldo Marques Dias Airport,Alta Floresta,Brazil,AFL
2406,Araçatuba Airport,Aracatuba,Brazil,ARU
2407,Val de Cans/Júlio Cezar Ribeiro International Airport,Belem,Brazil,BEL
2408,Comandante Gustavo Kraemer Airport,Bage,Brazil,BGX
2409,Pampulha - Carlos Drummond de Andrade Airport,Belo Horizonte,Brazil,PLU
2410,Bacacheri Airport,Curitiba,Brazil,BFH
2412,Presidente Juscelino Kubistschek International Airport,Brasilia,Brazil,BSB
2413,Bauru Airport,Bauru,Brazil,BAU
2414,Atlas Brasil Cantanhede Airport,Boa Vista,Brazil,BVB
2415,Barra do Garças Airport,Barra Do Garcas,Brazil,BPG
2416,Cascavel Airport,Cascavel,Brazil,CAC
2418,Tancredo Neves International Airport,Belo Horizonte,Brazil,CNF
2419,Campo Grande Airport,Campo Grande,Brazil,CGR
2420,Serafin Enoss Bertaso Airport,Chapeco,Brazil,XAP
2421,Brig. Lysias Augusto Rodrigues Airport,Carolina,Brazil,CLN
2422,Diomício Freitas Airport,Criciuma,Brazil,CCM
2424,Bartolomeu Lisandro Airport,Campos,Brazil,CAW
2425,Corumbá International Airport,Corumba,Brazil,CMG
2426,Afonso Pena Airport,Curitiba,Brazil,CWB
2427,Caravelas Airport,Caravelas,Brazil,CRQ
2428,Hugo Cantergiani Regional Airport,Caxias Do Sul,Brazil,CXJ
2429,Marechal Rondon Airport,Cuiaba,Brazil,CGB
2430,Cruzeiro do Sul Airport,Cruzeiro do Sul,Brazil,CZS
2431,Presidente Prudente Airport,President Prudente,Brazil,PPB
2432,Eduardo Gomes International Airport,Manaus,Brazil,MAO
2433,Jacareacanga Airport,Jacare-acanga,Brazil,JCR
2435,Cataratas International Airport,Foz Do Iguacu,Brazil,IGU
2436,Hercílio Luz International Airport,Florianopolis,Brazil,FLN
2437,Fernando de Noronha Airport,Fernando Do Noronha,Brazil,FEN
2440,Pinto Martins International Airport,Fortaleza,Brazil,FOR
2441,Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,Brazil,GIG
2442,Guajará-Mirim Airport,Guajara-mirim,Brazil,GJM
2443,Santa Genoveva Airport,Goiania,Brazil,GYN
2445,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,GRU
2446,Guaratinguetá Airport,Guaratingueta,Brazil,GUJ
2447,Altamira Airport,Altamira,Brazil,ATM
2448,Itacoatiara Airport,Itaituba,Brazil,ITA
2449,Itaituba Airport,Itaituba,Brazil,ITB
2450,Bahia - Jorge Amado Airport,Ilheus,Brazil,IOS
2451,Usiminas Airport,Ipatinga,Brazil,IPN
2452,Francisco Vilela do Amaral Airport,Itumbiara,Brazil,ITR
2453,Prefeito Renato Moreira Airport,Imperatriz,Brazil,IMP
2455,Francisco de Assis Airport,Juiz De Fora,Brazil,JDF
2456,Presidente Castro Pinto International Airport,Joao Pessoa,Brazil,JPA
2457,Lauro Carneiro de Loyola Airport,Joinville,Brazil,JOI
2458,Presidente João Suassuna Airport,Campina Grande,Brazil,CPV
2459,Viracopos International Airport,Campinas,Brazil,VCP
2460,Lages Airport,Lajes,Brazil,LAJ
2461,Lins Airport,Lins,Brazil,LIP
2462,Governador José Richa Airport,Londrina,Brazil,LDB
2463,Bom Jesus da Lapa Airport,Bom Jesus Da Lapa,Brazil,LAZ
2465,João Correa da Rocha Airport,Maraba,Brazil,MAB
2466,Monte Dourado Airport,Almeirim,Brazil,MEU
2467,Regional de Maringá - Sílvio Nane Junior Airport,Maringa,Brazil,MGF
2468,Mário Ribeiro Airport,Montes Claros,Brazil,MOC
2469,Ponta Pelada Airport,Manaus,Brazil,PLL
2470,Zumbi dos Palmares Airport,Maceio,Brazil,MCZ
2471,Alberto Alcolumbre Airport,Macapa,Brazil,MCP
2472,Dix-Sept Rosado Airport,Mocord,Brazil,MVF
2474,Manicoré Airport,Manicore,Brazil,MNX
2475,Ministro Victor Konder International Airport,Navegantes,Brazil,NVT
2476,Santo Ângelo Airport,Santo Angelo,Brazil,GEL
2477,Governador Aluízio Alves International Airport,Natal,Brazil,NAT
2478,Oiapoque Airport,Oioiapoque,Brazil,OYK
2479,Salgado Filho Airport,Porto Alegre,Brazil,POA
2480,Prefeito Doutor João Silva Filho Airport,Parnaiba,Brazil,PHB
2481,Poços de Caldas - Embaixador Walther Moreira Salles Airport,Pocos De Caldas,Brazil,POO
2482,Lauro Kurtz Airport,Passo Fundo,Brazil,PFB
2483,João Simões Lopes Neto International Airport,Pelotas,Brazil,PET
2484,Senador Nilo Coelho Airport,Petrolina,Brazil,PNZ
2485,Porto Nacional Airport,Porto Nacional,Brazil,PNB
2486,Ponta Porã Airport,Ponta Pora,Brazil,PMG
2487,Governador Jorge Teixeira de Oliveira Airport,Porto Velho,Brazil,PVH
2488,Plácido de Castro Airport,Rio Branco,Brazil,RBR
2489,Guararapes - Gilberto Freyre International Airport,Recife,Brazil,REC
2490,Rio Grande,Rio Grande,Brazil,RIG
2491,Santos Dumont Airport,Rio De Janeiro,Brazil,SDU
2492,Leite Lopes Airport,Ribeirao Preto,Brazil,RAO
2493,Santa Cruz Air Force Base,Rio De Janeiro,Brazil,SNZ
2494,Professor Urbano Ernesto Stumpf Airport,Sao Jose Dos Campos,Brazil,SJK
2495,Marechal Cunha Machado International Airport,Sao Luis,Brazil,SLZ
2496,Congonhas Airport,Sao Paulo,Brazil,CGH
2497,Prof. Eribelto Manoel Reino State Airport,Sao Jose Do Rio Preto,Brazil,SJP
2498,Base Aérea de Santos Airport,Santos,Brazil,SSZ
2499,Deputado Luiz Eduardo Magalhães International Airport,Salvador,Brazil,SSA
2500,Trombetas Airport,Oriximina,Brazil,TMT
2501,Senador Petrônio Portela Airport,Teresina,Brazil,THE
2502,Tefé Airport,Tefe,Brazil,TFF
2503,Tarauacá Airport,Tarauaca,Brazil,TRQ
2504,Telêmaco Borba Airport,Telemaco Borba,Brazil,TEC
2506,Tabatinga Airport,Tabatinga,Brazil,TBT
2507,Tucuruí Airport,Tucurui,Brazil,TUR
2508,São Gabriel da Cachoeira Airport,Sao Gabriel,Brazil,SJL
2509,Paulo Afonso Airport,Paulo Alfonso,Brazil,PAV
2510,Rubem Berta Airport,Uruguaiana,Brazil,URG
2511,Ten. Cel. Aviador César Bombonato Airport,Uberlandia,Brazil,UDI
2513,Mário de Almeida Franco Airport,Uberaba,Brazil,UBA
2514,Major Brigadeiro Trompowsky Airport,Varginha,Brazil,VAG
2515,Brigadeiro Camarão Airport,Vilhena,Brazil,BVH
2516,Eurico de Aguiar Salles Airport,Vitoria,Brazil,VIX
2518,Campo Fontenelle Airport,Piracununga,Brazil,QPS
2519,Chacalluta Airport,Arica,Chile,ARI
2520,Balmaceda Airport,Balmaceda,Chile,BBA
2522,Chile Chico Airport,Chile Chico,Chile,CCH
2523,El Loa Airport,Calama,Chile,CJC
2524,Gral. Bernardo O´Higgins Airport,Chillan,Chile,YAI
2525,Pdte. Carlos Ibañez del Campo Airport,Punta Arenas,Chile,PUQ
2526,Teniente Vidal Airport,Coyhaique,Chile,GXQ
2527,Diego Aracena Airport,Iquique,Chile,IQQ
2528,Comodoro Arturo Merino Benítez International Airport,Santiago,Chile,SCL
2529,Andrés Sabella Gálvez International Airport,Antofagasta,Chile,ANF
2530,Capitan Fuentes Martinez Airport Airport,Porvenir,Chile,WPR
2531,Futaleufú Airport,Futaleufu,Chile,FFU
2532,María Dolores Airport,Los Angeles,Chile,LSQ
2533,Guardiamarina Zañartu Airport,Puerto Williams,Chile,WPU
2534,Carriel Sur Airport,Concepcion,Chile,CCP
2535,Mataveri Airport,Easter Island,Chile,IPC
2536,Cañal Bajo Carlos - Hott Siebert Airport,Osorno,Chile,ZOS
2537,Vallenar Airport,Vallenar,Chile,VLR
2538,De La Independencia Airport,Rancagua,Chile,QRC
2539,Teniente Rodolfo Marsh Martin Base,Isla Rey Jorge,Antarctica,TNM
2540,La Florida Airport,La Serena,Chile,LSC
2542,Maquehue Airport,Temuco,Chile,PZS
2543,El Tepual Airport,Puerto Montt,Chile,PMC
2544,Chaitén Airport,Chaiten,Chile,WCH
2545,Pichoy Airport,Valdivia,Chile,ZAL
2546,Chachoán Airport,Ambato,Ecuador,ATF
2548,Francisco De Orellana Airport,Coca,Ecuador,OCC
2549,Mariscal Lamar Airport,Cuenca,Ecuador,CUE
2550,Seymour Airport,Galapagos,Ecuador,GPS
2551,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,GYE
2556,Cotopaxi International Airport,Latacunga,Ecuador,LTX
2557,Jose Maria Velasco Ibarra Airport,Macara,Ecuador,MRR
2558,Coronel E Carvajal Airport,Macas,Ecuador,XMS
2559,General Manuel Serrano Airport,Machala,Ecuador,MCH
2561,Eloy Alfaro International Airport,Manta,Ecuador,MEC
2564,Reales Tamarindos Airport,Portoviejo,Ecuador,PVO
2566,Mariscal Sucre International Airport,Quito,Ecuador,UIO
2568,Santa Rosa International Airport,Santa Rosa,Ecuador,ETR
2569,General Ulpiano Paez Airport,Salinas,Ecuador,SNC
2573,Tarapoa Airport,Tarapoa,Ecuador,TPC
2574,Teniente Coronel Luis a Mantilla Airport,Tulcan,Ecuador,TUA
2575,Silvio Pettirossi International Airport,Asuncion,Paraguay,ASU
2576,Juan De Ayolas Airport,Ayolas,Paraguay,AYO
2577,Teniente Col Carmelo Peralta Airport,Conception,Paraguay,CIO
2579,Dr. Luis Maria Argaña International Airport,Mariscal Estigarribia,Paraguay,ESG
2580,Carlos Miguel Gimenez Airport,Pilar,Paraguay,PIL
2581,El Eden Airport,Armenia,Colombia,AXM
2582,Tres De Mayo Airport,Puerto Asis,Colombia,PUU
2583,Las Flores Airport,El Banco,Colombia,ELB
2584,Palonegro Airport,Bucaramanga,Colombia,BGA
2585,El Dorado International Airport,Bogota,Colombia,BOG
2586,Ernesto Cortissoz International Airport,Barranquilla,Colombia,BAQ
2587,José Celestino Mutis Airport,Bahia Solano,Colombia,BSC
2588,Gerardo Tobar López Airport,Buenaventura,Colombia,BUN
2589,Camilo Daza International Airport,Cucuta,Colombia,CUC
2590,Rafael Nuñez International Airport,Cartagena,Colombia,CTG
2591,Alfonso Bonilla Aragon International Airport,Cali,Colombia,CLO
2592,La Florida Airport,Tumaco,Colombia,TCO
2593,Las Brujas Airport,Corozal,Colombia,CZU
2594,Yariguíes Airport,Barrancabermeja,Colombia,EJA
2595,Gustavo Artunduaga Paredes Airport,Florencia,Colombia,FLA
2596,Santiago Vila Airport,Girardot,Colombia,GIR
2597,Juan Casiano Airport,Guapi,Colombia,GPI
2599,Perales Airport,Ibague,Colombia,IBE
2600,San Luis Airport,Ipiales,Colombia,IPI
2601,Antonio Roldan Betancourt Airport,Carepa,Colombia,APO
2602,Jorge Isaac Airport,La Mina,Colombia,MCJ
2603,Alfredo Vásquez Cobo International Airport,Leticia,Colombia,LET
2604,Enrique Olaya Herrera Airport,Medellin,Colombia,EOH
2605,Baracoa Airport,Magangue,Colombia,MGN
2606,Los Garzones Airport,Monteria,Colombia,MTR
2607,Fabio Alberto Leon Bentley Airport,Mitu,Colombia,MVP
2608,La Nubia Airport,Manizales,Colombia,MZL
2609,Benito Salas Airport,Neiva,Colombia,NVA
2610,Aguas Claras Airport,Ocana,Colombia,OCV
2611,Otu Airport,Otu,Colombia,OTU
2613,German Olano Airport,Puerto Carreno,Colombia,PCR
2614,Matecaña International Airport,Pereira,Colombia,PEI
2615,Pitalito Airport,Pitalito,Colombia,PTX
2616,Guillermo León Valencia Airport,Popayan,Colombia,PPN
2617,Antonio Narino Airport,Pasto,Colombia,PSO
2618,El Embrujo Airport,Providencia,Colombia,PVA
2619,Mariquita Airport,Mariquita,Colombia,MQU
2620,Jose Maria Córdova International Airport,Rio Negro,Colombia,MDE
2621,Almirante Padilla Airport,Rio Hacha,Colombia,RCH
2622,Jorge E. Gonzalez Torres Airport,San Jose Del Guaviare,Colombia,SJE
2623,Simón Bolívar International Airport,Santa Marta,Colombia,SMR
2624,Gustavo Rojas Pinilla International Airport,San Andres Island,Colombia,ADZ
2625,Eduardo Falla Solano Airport,San Vincente De Caguan,Colombia,SVI
2626,Gustavo Vargas Airport,Tame,Colombia,TME
2627,Santiago Perez Airport,Arauca,Colombia,AUC
2628,El Caraño Airport,Quibdo,Colombia,UIB
2629,Heriberto Gíl Martínez Airport,Tulua,Colombia,ULQ
2630,Alfonso López Pumarejo Airport,Valledupar,Colombia,VUP
2631,Vanguardia Airport,Villavicencio,Colombia,VVC
2632,Bermejo Airport,Bermejo,Bolivia,BJO
2633,Jorge Wilsterman International Airport,Cochabamba,Bolivia,CBB
2634,Chimore Airport,Chapacura,Bolivia,CCA
2635,Capitán Aníbal Arab Airport,Cobija,Bolivia,CIJ
2636,El Alto International Airport,La Paz,Bolivia,LPB
2637,Juan Mendoza Airport,Oruro,Bolivia,ORU
2638,Capitan Nicolas Rojas Airport,Potosi,Bolivia,POI
2639,Capitán Av. Salvador Ogaya G. airport,Puerto Suarez,Bolivia,PSZ
2640,Santa Ana Del Yacuma Airport,Santa Ana,Bolivia,SBL
2641,Juana Azurduy De Padilla Airport,Sucre,Bolivia,SRE
2642,Capitan Oriel Lea Plaza Airport,Tarija,Bolivia,TJA
2643,Teniente Av. Jorge Henrich Arauz Airport,Trinidad,Bolivia,TDD
2644,Teniente Coronel Rafael Pabón Airport,Villa Montes,Bolivia,VLM
2645,Viru Viru International Airport,Santa Cruz,Bolivia,VVI
2646,Yacuiba Airport,Yacuiba,Bolivia,BYC
2647,Johan Adolf Pengel International Airport,Zandery,Suriname,PBM
2648,Cayenne-Rochambeau Airport,Cayenne,French Guiana,CAY
2649,Saint-Georges-de-l'Oyapock Airport,St.-georges Oyapock,French Guiana,OYP
2651,Alferez FAP Alfredo Vladimir Sara Bauer Airport,Andoas,Peru,AOP
2653,Iberia Airport,Iberia,Peru,IBP
2654,Cap FAP David Abenzur Rengifo International Airport,Pucallpa,Peru,PCL
2655,Teniente FAP Jaime A De Montreuil Morales Airport,Chimbote,Peru,CHM
2658,Capitan FAP Jose A Quinones Gonzales International Airport,Chiclayo,Peru,CIX
2659,Coronel FAP Alfredo Mendivil Duarte Airport,Ayacucho,Peru,AYP
2660,Andahuaylas Airport,Andahuaylas,Peru,ANS
2661,Comandante FAP German Arias Graziani Airport,Anta,Peru,ATA
2662,Jorge Chávez International Airport,Lima,Peru,LIM
2663,Juanjui Airport,Juanjui,Peru,JJI
2664,Francisco Carle Airport,Jauja,Peru,JAU
2665,Inca Manco Capac International Airport,Juliaca,Peru,JUL
2666,Ilo Airport,Ilo,Peru,ILQ
2668,Capitan FAP Pedro Canga Rodriguez Airport,Tumbes,Peru,TBP
2669,Moises Benzaquen Rengifo Airport,Yurimaguas,Peru,YMS
2671,Chachapoyas Airport,Chachapoyas,Peru,CHH
2672,Coronel FAP Francisco Secada Vignetta International Airport,Iquitos,Peru,IQT
2673,Rodríguez Ballón International Airport,Arequipa,Peru,AQP
2675,Capitan FAP Carlos Martinez De Pinillos International Airport,Trujillo,Peru,TRU
2676,Capitán FAP Renán Elías Olivera International Airport,Pisco,Peru,PIO
2677,Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,Peru,TPP
2678,Coronel FAP Carlos Ciriani Santa Rosa International Airport,Tacna,Peru,TCQ
2679,Padre Aldamiz International Airport,Puerto Maldonado,Peru,PEM
2680,Capitán FAP Guillermo Concha Iberico International Airport,Piura,Peru,PIU
2681,Capitan Montes Airport,Talara,Peru,TYL
2682,Alejandro Velasco Astete International Airport,Cuzco,Peru,CUZ
2684,Santa Bernardina International Airport,Durazno,Uruguay,DZO
2685,Carrasco International /General C L Berisso Airport,Montevideo,Uruguay,MVD
2686,Nueva Hesperides International Airport,Salto,Uruguay,STY
2687,Oswaldo Guevara Mujica Airport,Acarigua,Venezuela,AGV
2688,Anaco Airport,Anaco,Venezuela,AAO
2690,General José Antonio Anzoategui International Airport,Barcelona,Venezuela,BLA
2691,Barinas Airport,Barinas,Venezuela,BNS
2693,Barquisimeto International Airport,Barquisimeto,Venezuela,BRM
2694,"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar",Ciudad Bolivar,Venezuela,CBL
