iata,name,city,city_norm,country,continent,type,lat,lon
ESM,Carlos Concha Torres International Airport,Tachina,tachina,EC,SA,large_airport,0.978519,-79.626602
TAC,Daniel Z. Romualdez Airport,Tacloban City,tacloban city,PH,AS,medium_airport,11.227761,125.027783
TCQ,Coronel FAP Carlos Ciriani Santa Rosa International Airport,Tacna,tacna,PE,SA,medium_airport,-18.053300857500002,-70.2758026123
TIW,Tacoma Narrows Airport,Tacoma,tacoma,US,NA,medium_airport,47.267407,-122.577295
TGK,Taganrog Yuzhny Airport,Taganrog,taganrog,RU,EU,medium_airport,47.1983333,38.8491667
GJL,Jijel Ferhat Abbas Airport,Tahir,tahir,DZ,AF,large_airport,36.794125,5.873652
RMQ,Taichung International Airport / Ching Chuang Kang Air Base,Taichung (Qingshui),taichung (qingshui),TW,AS,large_airport,24.2647,120.621002
TIF,Taif International Airport,Taif,taif,SA,AS,large_airport,21.484739,40.544074
TNN,Tainan International Airport / Tainan Air Base,Tainan (Rende),tainan (rende),TW,AS,large_airport,22.950399,120.206001
TSA,Taipei Songshan International Airport,Taipei,taipei,TW,AS,large_airport,25.067244,121.552822
TTT,Taitung Airport,Taitung City,taitung city,TW,AS,medium_airport,22.7549991607666,121.10199737548828
TYN,Taiyuan Wusu International Airport,Taiyuan,taiyuan,CN,AS,large_airport,37.746899,112.627998
TAI,Taiz International Airport,Taiz,taiz,YE,AS,medium_airport,13.686,44.139099
HYN,Taizhou Luqiao Airport,Taizhou (Luqiao),taizhou (luqiao),CN,AS,medium_airport,28.562201,121.429001
TAK,Takamatsu Airport,Takamatsu,takamatsu,JP,AS,large_airport,34.214963,134.015454
TXE,Rembele Airport,Takengon,takengon,ID,AS,medium_airport,4.72113,96.851943
PDO,Pendopo Airport,Talang Gudang-Sumatra Island,talang gudang-sumatra island,ID,AS,medium_airport,-3.2860701084136963,103.87999725341797
TYL,Captain Victor Montes Arias International Airport,Talara,talara,PE,SA,medium_airport,-4.57664,-81.254097
TDK,Taldykorgan Airport,Taldykorgan,taldykorgan,KZ,AS,medium_airport,45.12255,78.442758
TLH,Tallahassee International Airport,Tallahassee,tallahassee,US,NA,medium_airport,30.401209,-84.35433
TLL,Lennart Meri Tallinn Airport,Tallinn,tallinn,EE,EU,large_airport,59.413246,24.83264
TML,Yakubu Tali International Airport,Tamale,tamale,GH,AF,large_airport,9.553909,-0.86606
TMR,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,tamanrasset,DZ,AF,large_airport,22.810992,5.450832
IKU,Issyk-Kul International Airport,Tamchy,tamchy,KG,AS,large_airport,42.585584,76.701181
TME,Gustavo Vargas Airport,Tame,tame,CO,SA,medium_airport,6.45108,-71.7603
TPA,Tampa International Airport,Tampa,tampa,US,NA,large_airport,27.9755,-82.533203
TMP,Tampere-Pirkkala Airport,Tampere / Pirkkala,tampere / pirkkala,FI,EU,large_airport,61.414101,23.604401
TMW,Tamworth Airport,Tamworth,tamworth,AU,OC,medium_airport,-31.077898,150.845484
TTA,Tan Tan Airport,Tan Tan,tan tan,MA,AF,medium_airport,28.447563,-11.161749
TMH,Tanah Merah Airport,Tanah Merah,tanah merah,ID,AS,medium_airport,-6.09669,140.303521
TNE,New Tanegashima Airport,Tanegashima,tanegashima,JP,AS,medium_airport,30.605100631699997,130.990997314
TGT,Tanga Airport,Tanga,tanga,TZ,AF,medium_airport,-5.09236,39.071201
WUZ,Wuzhou Xijiang Airport,Tangbu,tangbu,CN,AS,medium_airport,23.40316,111.09331
TNG,Tangier Ibn Battuta Airport,Tangier,tangier,MA,AF,large_airport,35.731741,-5.921459
TNJ,Raja Haji Fisabilillah International Airport,Tanjung Pinang-Bintan Island,tanjung pinang-bintan island,ID,AS,medium_airport,0.92397,104.53341
BEJ,Kalimarau Airport,Tanjung Redeb - Borneo Island,tanjung redeb - borneo island,ID,AS,medium_airport,2.14776,117.430705
TAH,Whitegrass Airport,Tanna Island,tanna island,VU,OC,medium_airport,-19.455099,169.223999
TJG,Warukin Airport,Tanta-Tabalong,tanta-tabalong,ID,AS,medium_airport,-2.21656,115.435997
TSM,Taos Regional Airport,Taos,taos,US,NA,medium_airport,36.452494,-105.67749
TPE,Taiwan Taoyuan International Airport,Taoyuan,taoyuan,TW,AS,large_airport,25.0777,121.233002
TAP,Tapachula International Airport,Tapachula,tapachula,MX,NA,medium_airport,14.794549,-92.369871
TPJ,Taplejung Airport,Taplejung,taplejung,NP,AS,medium_airport,27.3509,87.69525
TRK,Juwata International Airport / Suharnoko Harbani AFB,Tarakan,tarakan,ID,AS,medium_airport,3.325145,117.564169
TRA,Tarama Airport,Tarama,tarama,JP,AS,medium_airport,24.653793,124.675453
TPP,Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,tarapoto,PE,SA,medium_airport,-6.508739948272705,-76.37319946289062
DMB,Taraz International Airport,Taraz,taraz,KZ,AS,large_airport,42.8536,71.303596
LDE,Tarbes-Lourdes-Pyrénées Airport,Tarbes/Lourdes/Pyrénées,tarbes/lourdes/pyrenees,FR,EU,medium_airport,43.178699,-0.006439
TJA,Capitan Oriel Lea Plaza Airport,Tarija,tarija,BO,SA,medium_airport,-21.5557,-64.701302
COV,Çukurova International Airport,Tarsus,tarsus,TR,AS,large_airport,36.891478,35.071235
TAY,Tartu Airport,Tartu,tartu,EE,EU,medium_airport,58.307438,26.686473
HQL,Tashikuergan Hongqilafu Airport,Tashikuergan,tashikuergan,CN,AS,medium_airport,37.661333,75.288877
TAS,Tashkent International Airport,Tashkent,tashkent,UZ,AS,large_airport,41.2579,69.281197
TUO,Taupo Airport,Taupo,taupo,NZ,OC,medium_airport,-38.73970031738281,176.08399963378906
TRG,Tauranga Airport,Tauranga,tauranga,NZ,OC,medium_airport,-37.67190170288086,176.1959991455078
BAY,Maramureș International Airport,Tăuții-Măgherăuș,tautii-magheraus,RO,EU,medium_airport,47.658444,23.464445
TWU,Tawau Airport,Tawau,tawau,MY,AS,medium_airport,4.31338,118.12152
